KD <1mM,SMILES
0,N[C@@H](CC1)[C@@H](c2ccccc2)NC1=O
0,NC[C@@]12N(Cc3ccccc3)CC[C@@H]1C2.Cl.Cl
0,FC(Oc1ccc(C2OCCNC2)cc1)F
0,FC(c1n[nH]c2c1cncc2)(F)F
0,N[C@@H]([C@H](C1)O)c2c1cccc2
0,CCc1nc(C)c(C(O)=O)[s]1
0,C(CC1)Cc2c1[s]c(C1CNCCC1)n2
0,CC(CO)(CC1)CNC1=O
0,NCC1N(CC(F)F)CCC1
0,CN(C(CC1)=O)c2c1ccc(F)c2
0,Cc1cccc2c1cc(CO)[nH]2
0,CN(CCC1CO)C1c(cc1)ccc1OC
0,O=C(C1)NCC1C1NCCCC1
0,CC(CC1)=CCC1C(O)=O
0,CC(c1c(C)[n](C)nc1)N
0,C1CC(c2c[nH]nc2)NCC1
0,COCC[n]1ncc(N)c1
0,CNC(c1c[n](C)nc1)c1cccc(F)c1
0,CN1CC(C(c(cc2)ccc2Cl)N)OCC1
0,NCc1nc(cc(cc2)F)c2[nH]1.Cl.Cl
0,OC(C(C1)(CC1(F)F)c1ccccc1)=O
0,CCC(CCC1)C1C(O)=O
0,Fc(cc1)ccc1-c1n[nH]cc1
1,CC(c1cccc(N(CCN2)C2=O)c1)N.Cl
0,OC(Cc(cc1)cc(F)c1Cl)=O
0,OCc(cc1Cl)c[n]2c1ncc2
0,Nc1cc(C2OCCC2)n[o]1
0,OC1(CCNCC1)C1CC1
0,O=S1(C2(CCCCC2)CNCC1)=O
0,NCC(c(cccc1)c1F)N1CCOCC1
0,NC1C[n]2ncnc2CC1
0,OC(c1cc(C2CC2)n[o]1)=O
0,OCC(CCC1)CC1(F)F
0,OC(C(CCN1)(C2CCCC2)C1=O)=O
0,NS(c1c[n](CC(F)F)nc1)(=O)=O
0,CN(c1c2cccc1)NC2=O
0,C[n]1nccc1C(c1ccccc1)O
0,CC(N1c2ccc(C)cc2)=CNC1=O
0,O=C1N(CCCC2)C2=NN1
0,CN(C)c1nccc(C#N)c1
0,Nc1nnc(CC2CCCC2)[o]1
0,CC(c1c2)NCCc1cc(OC)c2OC
0,COC(CC1)CCN1C(CCCC1)C1N
0,OC(CC1)(Cc2c1cccc2)C(O)=O
0,CNCc(cc1)cc(Cl)c1OC
0,Cc1n[o]c(C2CC2)c1C(O)=O
0,OCc1nnc2[n]1CCCC2
0,Cc([o]nc1OC(F)F)c1N
0,CS(c1ccc(CO)[s]1)(=O)=O
0,NCC1CN(Cc2cccnc2)CCC1
0,CC(c1c(C)nccc1)O
0,OC1(CNCC1)C(F)(F)F.Cl
0,Cc([nH]c1ccc2)nc1c2F
0,Fc1cncc(N2CCNCCC2)c1
0,C[n]1nc(-c2ccccc2)nc1CC#N
0,OCc1cnc(C(F)(F)F)[o]1
0,C[n]1nccc1C1NCCOC1
0,CC(c1c(C)nc(C)[s]1)N
0,O=C(Cc(cccc1)c1F)N1CCNCC1
0,C[C@H](CN1CCNCC1)O
0,O=C(CC1Cc(cc2)ccc2F)NC1=O
0,OC(c1cc(C(F)(F)F)ncc1)=O
0,NCc(cc1)cc(F)c1-[n]1cncc1
0,O=C(C=C(C1CC1)N1)NC1=O
0,C[n]1ncc(CC2)c1CC2C(O)=O
0,Cc1nc(-c2ccc(CC(O)=O)cc2)c[s]1
0,Cc1cc(C#N)cc(OC)n1
0,OC(c1cc(C2COCCC2)ccc1)=O
0,Cc1c[n](CCNC2)c2n1.Cl.Cl
0,O=C(CCc1ccccc1)N1CCNCC1
0,CC(C1CC1)[n]1nccc1N.Cl
0,C[n]1nccc1C(C1CCNCC1)O
0,Clc1c[n](C2CNCC2)nc1
0,C(CNCC1)C1c1c[s]cn1
0,OC(c1cc(ccc(Cl)c2)c2[nH]1)=O
0,Cc(nc(cc1)-c2ccc[o]2)c1C(O)=O
0,NC(c1c[nH]c(C2CC2)n1)=O
